id,name,state,city_x,latitude,longitude,license_type,address,rating,reviews_count,zip_code_x,web_url,retailer_services,phone_x,email_x,website_x,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness,date_scraped,License Number,License Type,Business Owner,Business Contact Information,Business Structure,Premise Address,Status,Issue Date,Expiration Date,Activities,Adult-Use/Medicinal,zip_code_y,city_y,email_y,website_y,company_name,phone_y,License_no_dash
7985,Redwood Herbal Alliance,CA,Santa Rosa,38.5101421,-122.7648993,hybrid,5270 Aero Drive,4.51098901098901,182,95403,https://weedmaps.com/dispensaries/redwood-herbal-alliance,storefront,707-528-3632,redherb@sonic.net,,,M10170000132TEMP,M10170000132TEMP,,,,,,2019-03,M10170000132TEMP,Cannabis - Retailer Temporary License,Al Eaddy,"ASG NORTH BAY, INC.  : Redwood Herbal Alliance : Email- redherb@sonic.net : Phone- 7075283632 ",Corporation,"5270 AERO DR SANTA ROSA, CA 95403 County: SONOMA ",Active,07/25/2019,01/01/2018,N/A for this license type,BOTH,95403,santa rosa,redherb@sonic.net,,"asg north bay, inc.",7075283632.0,M10170000132TEMP
43498,West Coast Smoke - Recreational,CA,Napa,38.296475,-122.300371,hybrid,,4.91304347826087,23,94559,https://weedmaps.com/deliveries/west-coast-smoke-recreational,delivery,707-814-5112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9180000036TEMP,,,,,,,2019-03,C9180000036TEMP,Cannabis - Retailer Nonstorefront Temporary License,Christopher Alpers,WEST COAST SMOKE LLC : Email- chris.alpers@yahoo.com : Phone- 4252489475 ,Limited Liability Company,"UKIAH, CA 95482 County: MENDOCINO",Active,07/02/2019,09/05/2018,N/A for this license type,BOTH,95482,ukiah,chris.alpers@yahoo.com,,west coast smoke llc,4252489475.0,C9180000036TEMP
39791,West Coast Smoke - Recreational,CA,Santa Rosa,38.453373,-122.71744,hybrid,,4.39240506329114,79,95401,https://weedmaps.com/deliveries/west-coast-smoke,delivery,707-814-5112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9180000036TEMP,,,,,,,2019-03,C9180000036TEMP,Cannabis - Retailer Nonstorefront Temporary License,Christopher Alpers,WEST COAST SMOKE LLC : Email- chris.alpers@yahoo.com : Phone- 4252489475 ,Limited Liability Company,"UKIAH, CA 95482 County: MENDOCINO",Active,07/02/2019,09/05/2018,N/A for this license type,BOTH,95482,ukiah,chris.alpers@yahoo.com,,west coast smoke llc,4252489475.0,C9180000036TEMP
39792,West Coast Smoke - Recreational,CA,Ukiah,39.150059000000006,-123.20766,hybrid,,5.0,4,95482,https://weedmaps.com/deliveries/west-coast-smoke-2,delivery,(707) 814-5112,sales@westcoastsmoke.net,westcoastsmoke.net,,C9180000036TEMP,,,,,,,2019-03,C9180000036TEMP,Cannabis - Retailer Nonstorefront Temporary License,Christopher Alpers,WEST COAST SMOKE LLC : Email- chris.alpers@yahoo.com : Phone- 4252489475 ,Limited Liability Company,"UKIAH, CA 95482 County: MENDOCINO",Active,07/02/2019,09/05/2018,N/A for this license type,BOTH,95482,ukiah,chris.alpers@yahoo.com,,west coast smoke llc,4252489475.0,C9180000036TEMP
44443,Farmhouse Artisan Market,CA,Petaluma,38.23418,-122.64008899999999,hybrid,,4.692307692307691,13,94952,https://weedmaps.com/deliveries/farmhouse-artisan-market,delivery,707-238-2194,info@farmhouse.delivery,www.farmhouse.delivery/,,C9180000049TEMP,,,,,,,2019-03,C9180000049TEMP,Cannabis - Retailer Nonstorefront Temporary License,james clark,"RHIZOME, LLC  : Farmhouse Artisan Market : Email- farmhouse.petaluma@gmail.com : Phone- 7078005135 : Website- www.farmhouse.delivery",Limited Liability Company,"PETALUMA, CA 949541158 County: SONOMA ",Active,08/21/2019,10/25/2018,N/A for this license type,BOTH,94954,petaluma,farmhouse.petaluma@gmail.com,www.farmhouse.delivery,"rhizome, llc",7078005135.0,C9180000049TEMP
3257,CannaBliss - Napa,CA,Napa,38.26721,-122.298425,hybrid,,4.79411764705882,136,94591,https://weedmaps.com/deliveries/cannabliss-2-4,delivery,707-980-1441 call or text,emailCannaBliss@gmail.com,www.420cannabliss.com,,C9180000221TEMP,,,,,,,2019-03,C9180000221TEMP,Cannabis - Retailer Nonstorefront Temporary License,WEI SHI,WAXY'S : Email- waxys420@gmail.com : Phone- 7022807728 ,Corporation,"OAKLAND, CA 946074149 County: ALAMEDA ",Active,07/28/2019,12/30/2018,N/A for this license type,BOTH,94607,oakland,waxys420@gmail.com,,waxy's,7022807728.0,C9180000221TEMP
3255,CannaBliss - Martinez,CA,Martinez,37.964576,-122.07858999999999,hybrid,,4.8912280701754405,57,94520,https://weedmaps.com/deliveries/cannabliss-2-3,delivery,925-708-9800 707-980-1441,emailCannaBliss@gmail.com,www.420cannabliss.com,,C9180000221TEMP,,,,,,,2019-03,C9180000221TEMP,Cannabis - Retailer Nonstorefront Temporary License,WEI SHI,WAXY'S : Email- waxys420@gmail.com : Phone- 7022807728 ,Corporation,"OAKLAND, CA 946074149 County: ALAMEDA ",Active,07/28/2019,12/30/2018,N/A for this license type,BOTH,94607,oakland,waxys420@gmail.com,,waxy's,7022807728.0,C9180000221TEMP
46361,ganjarunner,CA,Napa,38.291752,-122.284213,hybrid,,5.0,1,94559,https://weedmaps.com/deliveries/ganjarunner-27,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
45624,ganjarunner,CA,San Rafael,37.966301,-122.522003,hybrid,,0.0,0,94901,https://weedmaps.com/deliveries/ganjarunner-19,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
46359,ganjarunner,CA,Berkeley,37.882497,-122.280348,hybrid,,0.0,0,94707,https://weedmaps.com/deliveries/ganjarunner-25,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
