id,name,state,city,latitude,longitude,license_type,address,rating,reviews_count,zip_code,web_url,retailer_services,phone,email,website,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness,date_scraped
6189,Riverside Wellness Collective,CA,Guerneville,38.514037,-122.982384,medical,15025 River Rd,4.76062992125984,127,95446,https://weedmaps.com/dispensaries/riverside,storefront,707-869-8008,RiversideWellness@gmail.com,riversidewellness.net/,,,,,,,M10-18-0000224-TEMP,,2019-03
7985,Redwood Herbal Alliance,CA,Santa Rosa,38.5101421,-122.7648993,hybrid,5270 Aero Drive,4.51098901098901,182,95403,https://weedmaps.com/dispensaries/redwood-herbal-alliance,storefront,707-528-3632,redherb@sonic.net,,,M10-17-0000132-TEMP,M10-17-0000132-TEMP,,,,,,2019-03
56740,SPARC - Sebastopol,CA,Sebastopol,38.402469,-122.820284,recreational,6771 SEBASTOPOL AVE.,4.0,2,95472,https://weedmaps.com/dispensaries/sparc-sebastopol,storefront,(707) 823-4206,info@sparcsf.org,,,,,,,,,,2019-03
7352,Mercy Wellness of Cotati,CA,Cotati,38.3326544,-122.7141671,hybrid,7950 Redwood Dr #8,4.45231689088191,669,94931,https://weedmaps.com/dispensaries/mercy-wellness,storefront,(707) 795-1600,info@mercywellness.com,www.mercywellness.com,,,A10-17-0000052-TEMP,C11-18-0000133-TEMP,,,A10-17-0000052-TEMP,,2019-03
24046,Vallejo Holistic Health Center (VHHC),CA,Vallejo,38.109695,-122.253393,hybrid,539 Tennessee St,4.24038461538461,624,94590,https://weedmaps.com/dispensaries/vallej-holistic-health-care,storefront,(707) 652-5018,vhhc420@gmail.com,www.vhhc420.org,,,A10-18-0000341-TEMP,,,,M10-18-0000201-TEMP,,2019-03
43498,West Coast Smoke - Recreational,CA,Napa,38.296475,-122.300371,hybrid,,4.91666666666667,24,94559,https://weedmaps.com/deliveries/west-coast-smoke-recreational,delivery,707-814-5112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9-18-0000036-TEMP,,,,,,,2019-03
39791,West Coast Smoke - Recreational,CA,Santa Rosa,38.453373,-122.71744,hybrid,,4.43529411764706,85,95401,https://weedmaps.com/deliveries/west-coast-smoke,delivery,707-814-5112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9-18-0000036-TEMP,,,,,,,2019-03
60567,Harvest of Napa (Newly Opened),CA,Napa,38.297243,-122.301418,medical,2449 Second Street,4.1875,16,94559,https://weedmaps.com/dispensaries/harvest-of-napa,storefront,(707) 681-0599,napa@harvestinc.com,www.harvestofcalifornia.com/,,,,,,,,,2019-03
49957,Mendocino Organics,CA,Vallejo,38.109695,-122.253425,medical,539 A Tennessee ST,3.23333333333333,12,94590,https://weedmaps.com/dispensaries/mendocino-organics-2,storefront,(707)652-5018,northbaymeds@gmail.com,,,,,,,,,,2019-03
28399,VHHC Delivery,CA,Vallejo,38.113989,-122.257939,hybrid,,2.57142857142857,7,94590,https://weedmaps.com/deliveries/bam-delivery,delivery, (707) 652-5018,vhhc420@gmail.com,,,,,,,,,,2019-03
44342,VHHC Delivery - Napa,CA,Napa,38.304108,-122.289422,medical,,1.0,1,94559,https://weedmaps.com/deliveries/vhhc-delivery-napa,delivery, (707) 652-5018,vhhc420@gmail.com,,,,,,,,,,2019-03
19065,Highway 29 Health Care,CA,Vallejo,38.125661,-122.255838,hybrid,3737 Sonoma Blvd.,4.57041800643086,311,94589,https://weedmaps.com/dispensaries/highway-29-health-care,storefront,707-645-8303 ,LisaHighway29@gmail.com,www.highway29healthcare.com,,,A10-18-0000284-TEMP,,,,M10-18-0000175-TEMP,,2019-03
12081,Alternatives: Dispensary and Delivery - Santa Rosa,CA,Santa Rosa,38.428201,-122.738347,hybrid,1603 Hampton Way,4.22919708029197,274,95407,https://weedmaps.com/dispensaries/alternatives-health-collective,storefront,707-525-1420,alternativescollective@gmail.com,www.alternativescollective.com/,,,A10-18-0000186-TEMP,,,,M10-17-0000052-TEMP,,2019-03
44443,Farmhouse Artisan Market,CA,Petaluma,38.23418,-122.640089,hybrid,,4.69230769230769,13,94952,https://weedmaps.com/deliveries/farmhouse-artisan-market,delivery,707-238-2194,info@farmhouse.delivery,www.farmhouse.delivery/,,C9-18-0000049-TEMP,,,,,,,2019-03
34463,MCPG Happy Herbs Delivery Service - Sonoma / Napa,CA,Napa,38.281941,-122.300324,hybrid,,4.25,20,94558,https://weedmaps.com/deliveries/https-weedmaps-com-deliveries-mcpg-happy-herbs-delivery-service-5-menu,delivery,707 567-1790,mcpgmembership@gmail.com,,,,c10-0000002-lic,,,,c10-0000002-lic,,2019-03
3136,Purple Buddha - Vallejo,CA,Vallejo,38.104806,-122.24356,medical,,3.47301587301587,63,94517,https://weedmaps.com/deliveries/purple-buddha-2-4,delivery,925-993-8180,purplebuddhadelivery@gmail.com,purplebuddha-delivery.com,,,,,,,,,2019-03
46990,MCPG Happy Herbs,CA,Vallejo,38.140298,-122.251728,hybrid,1988 Broadway St,4.57237237237238,333,94589,https://weedmaps.com/dispensaries/mcpg-happy-herbs,storefront,707-567-1790,mcpgmembership@gmail.com,,,,c10-0000002-lic,,,,c10-0000002-lic,,2019-03
12938,GRO - Napa,CA,Napa,38.307244,-122.302287,hybrid,,5.0,7,94559,https://weedmaps.com/deliveries/green-ridge-organics-2-5,delivery,707-631-4096,hello@gro.life,www.gro.life,,,,,,,,A12-18-0000032-TEMP,2019-03
6492,California Collective Care,CA,Vallejo,38.1389706,-122.2542195,hybrid,1639 Lewis Brown Drive,4.07141382868937,323,94589,https://weedmaps.com/dispensaries/california-collective-care,storefront,7076436313,ccclewisbrown@gmail.com,,,,A10-18-0000320-TEMP,,,,,,2019-03
12934,GRO - American Canyon Benicia,CA,American Canyon,38.153846,-122.253899,hybrid,,5.0,5,94589,https://weedmaps.com/deliveries/green-ridge-organics-2-2,delivery,707-631-4096,hello@gro.life,www.gro.life,,,,,,,,A12-18-0000032-TEMP,2019-03
52644,Hemp Hop Station,CA,Vallejo,38.116116,-122.254925,hybrid,3201 Sonoma Blvd.,3.94324324324324,74,94590,https://weedmaps.com/dispensaries/hemp-hop-station,storefront,(707)641-1444,hemphopstation@gmail.com,www.hemphopstation.com,,,A10-18-0000288-TEMP,,,,M10-18-0000184-TEMP,,2019-03
33950,Life Enhancement Services,CA,Vallejo,38.138599,-122.252103,hybrid,1966 Broadway,4.63434343434344,198,94589,https://weedmaps.com/dispensaries/les,storefront,707-654-8842,dhcvallejo707@gmail.com,,,,M10-17-0000108-TEMP,,,,M10-17-0000108-TEMP,,2019-03
48301,Sonoma County Care,CA,Santa Rosa,38.449315,-122.705267,medical,,2.0,4,95404,https://weedmaps.com/deliveries/sonoma-county-care,delivery,7079711069,cookiesorbetter707@gmail.com,,,,,,,,,,2019-03
4163,Better Health Group,CA,Vallejo,38.123774,-122.255607,hybrid,3611 Sonoma blvd,4.21989528795812,191,94590,https://weedmaps.com/dispensaries/better-health-group-collective,storefront,707-643-3767,betterhealthgroup707@gmail.com,www.BHG420.com,,,A10-18-0000287-TEMP,,,,A10-18-0000287-TEMP,,2019-03
28085,HTP Group - Vallejo,CA,Vallejo,38.134242,-122.259736,medical,1408 Enterprise Street,4.67386759581881,287,94589,https://weedmaps.com/dispensaries/htp-group,storefront,HTP (707) 260-2626,htpintake@gmail.com,,,,A10-18-0000172-TEMP,,,,M10-18-0000172-TEMP,,2019-03
17356,Plantacea,CA,Vallejo,38.098621,-122.243385,hybrid,1 Benicia Road,4.64658823529411,425,94590,https://weedmaps.com/dispensaries/releaf-alternative-healing,storefront,707-980-7868,hello@plantacea.org,plantacea.org,,,A10-18-0000289-TEMP ,,,,M10-18-0000206-TEMP,,2019-03
44558,Premier Budz - Vallejo,CA,Vallejo,38.105096,-122.254854,medical,,4.86206896551724,29,94590,https://weedmaps.com/deliveries/premier-budz-vallejo,delivery,(408) 444-0898,Premierbudz420@gmail.com,,,,,,,,,,2019-03
27454,Better Buds,CA,Novato,38.11157,-122.59051,medical,,4.71428571428571,7,94947,https://weedmaps.com/deliveries/eleaf,delivery,415-299-1750,betterbudsnorth@gmail.com,,,,,,,,,,2019-03
35031,Sonoma Patient Group,CA,"Santa Rosa, CA",38.4619157,-122.7286824,medical,2425 Cleveland Ave #175,3.97777777777778,54,95403,https://weedmaps.com/dispensaries/sonoma-patient-group,storefront,(707)526-2800,info@sonomapatientgroup.com,www.sonomapatientgroup.com,,,M10-17-0000119-TEMP,,,,,,2019-03
3257,CannaBliss - Napa,CA,Napa,38.26721,-122.298425,hybrid,,4.79411764705882,136,94591,https://weedmaps.com/deliveries/cannabliss-2-4,delivery,707-980-1441 call or text,emailCannaBliss@gmail.com,www.420cannabliss.com,,C9-18-0000221-TEMP,,,,,,,2019-03
44044,Hidden Treasurez Collective,CA,Napa,38.287778,-122.294363,medical,,5.0,7,94559,https://weedmaps.com/deliveries/hidden-treasurez-collective-3,delivery,(707) 4927072,hiddentreasurescollective@gmail.com,,,,,,,,,,2019-03
49011,Cookie Monster Delivery,Ca,Napa,38.295195,-122.289234,medical,,4.2,5,94559,https://weedmaps.com/deliveries/cookie-monster-delivery-2,delivery,415-756-1474,cookiemonsterdeliveries@gmail.com,,,,,,,,,,2019-03
30453,MarinMedz,CA,Novato,38.118425,-122.586003,medical,,5.0,2,94947,https://weedmaps.com/deliveries/marinmedz-san-rafael,delivery, 415-434-1700,marinmedz@protonmail.com,,,,,,,,,,2019-03
46361,ganjarunner,CA,Napa,38.291752,-122.284213,hybrid,,5.0,1,94559,https://weedmaps.com/deliveries/ganjarunner-27,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9-18-0000090-TEMP,,,,,,,2019-03
24652,Budee,CA,Santa Rosa,38.436663,-122.712361,hybrid,,2.51666666666667,12,95404,https://weedmaps.com/deliveries/budee-45,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9-18-0000075-TEMP,,,,A9-18-0000075-TEMP,,,2019-03
43000,The Natural Fix - Napa,CA,Napa,38.25877,-122.271736,medical,,3.0,2,95476,https://weedmaps.com/deliveries/the-natural-fix-sonoma,delivery,844-464-7420,thenaturalfix18@gmail.com,,,,,,,,,,2019-03
24651,Budee,CA,Petaluma,38.258176,-122.641705,hybrid,,2.48235294117647,17,94954,https://weedmaps.com/deliveries/budee-44,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9-18-0000075-TEMP,,,,A9-18-0000075-TEMP,,,2019-03
24653,Budee,CA,Napa,38.296533,-122.29351,hybrid,,2.30769230769231,13,94559,https://weedmaps.com/deliveries/budee-46,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9-18-0000075-TEMP,,,,A9-18-0000075-TEMP,,,2019-03
24645,Budee,CA,Vallejo,38.097172,-122.254804,hybrid,,1.72,10,94590,https://weedmaps.com/deliveries/budee-38,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9-18-0000075-TEMP,,,,A9-18-0000075-TEMP,,,2019-03
46076,SONOMA MEDICINAL HERBS,CA,Santa Rosa,38.394026,-122.71405,medical,3403 SANTA ROSA AVE,5.0,4,95407,https://weedmaps.com/dispensaries/sonoma-medicinal-herbs-santa-rosa,storefront,707-595-1823,info@sonomamedicinalherbs.com,,,,,,,,M10-18-0000289-TEMP,,2019-03
56739,SPARC - Santa Rosa,CA,Santa Rosa,38.445259,-122.730786,recreational,1061 N DUTTON AVE.,1.0,3,95401,https://weedmaps.com/dispensaries/sparc-santa-rosa,storefront,707-843-3227,info@sparcsf.org,,,,,,,,,,2019-03
33136,Bay Area Meds,CA,Marin,37.977466,-122.522338,hybrid,,4.17297297297297,37,94903,https://weedmaps.com/deliveries/canna-fly,delivery,415-526-3285,vhhc420@gmail.com,vhhc420.org,,,,,,,,,2019-03
3509,E-leaf,CA,San Rafael,37.974566,-122.538539,medical,,4.90526315789474,76,94901,https://weedmaps.com/deliveries/better-buds-2-5,delivery,415-943-1420,info@eleaf.club,,,,,,,,,,2019-03
28014,MarinMedz,CA,San Rafael,37.935973,-122.533444,medical,,4.75238095238095,42,94901,https://weedmaps.com/deliveries/marinmedz,delivery,415-434-1700,marinmedz@protonmail.com,,,,,,,,,,2019-03
39318,Firefly Marin,CA,Marin,37.968803,-122.570466,medical,,5.0,35,94960,https://weedmaps.com/deliveries/firefly-marin,delivery,415-785-7377,info@fireflymarin.com,fireflymarin.com,,,,,,C9-180000043-TEMP,,,2019-03
