id,name,state,city,latitude,longitude,license_type,address,rating,reviews_count,zip_code,web_url,retailer_services,phone,email,website,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness,date_scraped
6189,Riverside Wellness Collective,CA,guerneville,38.514037,-122.98238400000001,medical,15025 River Rd,4.76062992125984,127,95446,https://weedmaps.com/dispensaries/riverside,storefront,7078698008,RiversideWellness@gmail.com,riversidewellness.net/,,,,,,,M10-18-0000224-TEMP,,2019-03
7985,Redwood Herbal Alliance,CA,santa rosa,38.5101421,-122.7648993,hybrid,5270 Aero Drive,4.51098901098901,182,95403,https://weedmaps.com/dispensaries/redwood-herbal-alliance,storefront,7075283632,redherb@sonic.net,,,M10-17-0000132-TEMP,M10-17-0000132-TEMP,,,,,,2019-03
56740,SPARC - Sebastopol,CA,sebastopol,38.402469,-122.82028400000002,recreational,6771 SEBASTOPOL AVE.,4.0,2,95472,https://weedmaps.com/dispensaries/sparc-sebastopol,storefront,7078234206,info@sparcsf.org,,,,,,,,,,2019-03
7352,Mercy Wellness of Cotati,CA,cotati,38.3326544,-122.71416709999998,hybrid,7950 Redwood Dr #8,4.45231689088191,669,94931,https://weedmaps.com/dispensaries/mercy-wellness,storefront,7077951600,info@mercywellness.com,www.mercywellness.com,,,A10-17-0000052-TEMP,C11-18-0000133-TEMP,,,A10-17-0000052-TEMP,,2019-03
24046,Vallejo Holistic Health Center (VHHC),CA,vallejo,38.109695,-122.25339299999999,hybrid,539 Tennessee St,4.24038461538461,624,94590,https://weedmaps.com/dispensaries/vallej-holistic-health-care,storefront,7076525018,vhhc420@gmail.com,www.vhhc420.org,,,A10-18-0000341-TEMP,,,,M10-18-0000201-TEMP,,2019-03
43498,West Coast Smoke - Recreational,CA,napa,38.296475,-122.300371,hybrid,,4.91666666666667,24,94559,https://weedmaps.com/deliveries/west-coast-smoke-recreational,delivery,7078145112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9-18-0000036-TEMP,,,,,,,2019-03
39791,West Coast Smoke - Recreational,CA,santa rosa,38.453373,-122.71744,hybrid,,4.43529411764706,85,95401,https://weedmaps.com/deliveries/west-coast-smoke,delivery,7078145112,sales@westcoastsmoke.net,www.westcoastsmoke.net,,C9-18-0000036-TEMP,,,,,,,2019-03
60567,Harvest of Napa (Newly Opened),CA,napa,38.297243,-122.301418,medical,2449 Second Street,4.1875,16,94559,https://weedmaps.com/dispensaries/harvest-of-napa,storefront,7076810599,napa@harvestinc.com,www.harvestofcalifornia.com/,,,,,,,,,2019-03
49957,Mendocino Organics,CA,vallejo,38.109695,-122.253425,medical,539 A Tennessee ST,3.2333333333333303,12,94590,https://weedmaps.com/dispensaries/mendocino-organics-2,storefront,7076525018,northbaymeds@gmail.com,,,,,,,,,,2019-03
28399,VHHC Delivery,CA,vallejo,38.113989000000004,-122.257939,hybrid,,2.57142857142857,7,94590,https://weedmaps.com/deliveries/bam-delivery,delivery,7076525018,vhhc420@gmail.com,,,,,,,,,,2019-03
44342,VHHC Delivery - Napa,CA,napa,38.304108,-122.289422,medical,,1.0,1,94559,https://weedmaps.com/deliveries/vhhc-delivery-napa,delivery,7076525018,vhhc420@gmail.com,,,,,,,,,,2019-03
19065,Highway 29 Health Care,CA,vallejo,38.125661,-122.25583799999998,hybrid,3737 Sonoma Blvd.,4.57041800643086,311,94589,https://weedmaps.com/dispensaries/highway-29-health-care,storefront,7076458303,LisaHighway29@gmail.com,www.highway29healthcare.com,,,A10-18-0000284-TEMP,,,,M10-18-0000175-TEMP,,2019-03
12081,Alternatives: Dispensary and Delivery - Santa Rosa,CA,santa rosa,38.428201,-122.73834699999999,hybrid,1603 Hampton Way,4.2291970802919705,274,95407,https://weedmaps.com/dispensaries/alternatives-health-collective,storefront,7075251420,alternativescollective@gmail.com,www.alternativescollective.com/,,,A10-18-0000186-TEMP,,,,M10-17-0000052-TEMP,,2019-03
44443,Farmhouse Artisan Market,CA,petaluma,38.23418,-122.64008899999999,hybrid,,4.692307692307691,13,94952,https://weedmaps.com/deliveries/farmhouse-artisan-market,delivery,7072382194,info@farmhouse.delivery,www.farmhouse.delivery/,,C9-18-0000049-TEMP,,,,,,,2019-03
34463,MCPG Happy Herbs Delivery Service - Sonoma / Napa,CA,napa,38.281940999999996,-122.300324,hybrid,,4.25,20,94558,https://weedmaps.com/deliveries/https-weedmaps-com-deliveries-mcpg-happy-herbs-delivery-service-5-menu,delivery,7075671790,mcpgmembership@gmail.com,,,,c10-0000002-lic,,,,c10-0000002-lic,,2019-03
3136,Purple Buddha - Vallejo,CA,vallejo,38.104805999999996,-122.24356,medical,,3.47301587301587,63,94517,https://weedmaps.com/deliveries/purple-buddha-2-4,delivery,9259938180,purplebuddhadelivery@gmail.com,purplebuddha-delivery.com,,,,,,,,,2019-03
46990,MCPG Happy Herbs,CA,vallejo,38.140298,-122.251728,hybrid,1988 Broadway St,4.57237237237238,333,94589,https://weedmaps.com/dispensaries/mcpg-happy-herbs,storefront,7075671790,mcpgmembership@gmail.com,,,,c10-0000002-lic,,,,c10-0000002-lic,,2019-03
12938,GRO - Napa,CA,napa,38.307244,-122.302287,hybrid,,5.0,7,94559,https://weedmaps.com/deliveries/green-ridge-organics-2-5,delivery,7076314096,hello@gro.life,www.gro.life,,,,,,,,A12-18-0000032-TEMP,2019-03
6492,California Collective Care,CA,vallejo,38.1389706,-122.2542195,hybrid,1639 Lewis Brown Drive,4.07141382868937,323,94589,https://weedmaps.com/dispensaries/california-collective-care,storefront,7076436313,ccclewisbrown@gmail.com,,,,A10-18-0000320-TEMP,,,,,,2019-03
12934,GRO - American Canyon Benicia,CA,american canyon,38.153846,-122.253899,hybrid,,5.0,5,94589,https://weedmaps.com/deliveries/green-ridge-organics-2-2,delivery,7076314096,hello@gro.life,www.gro.life,,,,,,,,A12-18-0000032-TEMP,2019-03
52644,Hemp Hop Station,CA,vallejo,38.116116,-122.254925,hybrid,3201 Sonoma Blvd.,3.94324324324324,74,94590,https://weedmaps.com/dispensaries/hemp-hop-station,storefront,7076411444,hemphopstation@gmail.com,www.hemphopstation.com,,,A10-18-0000288-TEMP,,,,M10-18-0000184-TEMP,,2019-03
33950,Life Enhancement Services,CA,vallejo,38.138599,-122.252103,hybrid,1966 Broadway,4.634343434343441,198,94589,https://weedmaps.com/dispensaries/les,storefront,7076548842,dhcvallejo707@gmail.com,,,,M10-17-0000108-TEMP,,,,M10-17-0000108-TEMP,,2019-03
48301,Sonoma County Care,CA,santa rosa,38.449315000000006,-122.70526699999999,medical,,2.0,4,95404,https://weedmaps.com/deliveries/sonoma-county-care,delivery,7079711069,cookiesorbetter707@gmail.com,,,,,,,,,,2019-03
4163,Better Health Group,CA,vallejo,38.123774,-122.25560700000001,hybrid,3611 Sonoma blvd,4.21989528795812,191,94590,https://weedmaps.com/dispensaries/better-health-group-collective,storefront,7076433767,betterhealthgroup707@gmail.com,www.BHG420.com,,,A10-18-0000287-TEMP,,,,A10-18-0000287-TEMP,,2019-03
28085,HTP Group - Vallejo,CA,vallejo,38.134242,-122.259736,medical,1408 Enterprise Street,4.67386759581881,287,94589,https://weedmaps.com/dispensaries/htp-group,storefront,HTP7072602626,htpintake@gmail.com,,,,A10-18-0000172-TEMP,,,,M10-18-0000172-TEMP,,2019-03
17356,Plantacea,CA,vallejo,38.098621,-122.243385,hybrid,1 Benicia Road,4.64658823529411,425,94590,https://weedmaps.com/dispensaries/releaf-alternative-healing,storefront,7079807868,hello@plantacea.org,plantacea.org,,,A10-18-0000289-TEMP ,,,,M10-18-0000206-TEMP,,2019-03
44558,Premier Budz - Vallejo,CA,vallejo,38.105096,-122.25485400000001,medical,,4.86206896551724,29,94590,https://weedmaps.com/deliveries/premier-budz-vallejo,delivery,4084440898,Premierbudz420@gmail.com,,,,,,,,,,2019-03
27454,Better Buds,CA,novato,38.11157,-122.59051000000001,medical,,4.71428571428571,7,94947,https://weedmaps.com/deliveries/eleaf,delivery,4152991750,betterbudsnorth@gmail.com,,,,,,,,,,2019-03
35031,Sonoma Patient Group,CA,"santa rosa, ca",38.4619157,-122.7286824,medical,2425 Cleveland Ave #175,3.9777777777777796,54,95403,https://weedmaps.com/dispensaries/sonoma-patient-group,storefront,7075262800,info@sonomapatientgroup.com,www.sonomapatientgroup.com,,,M10-17-0000119-TEMP,,,,,,2019-03
3257,CannaBliss - Napa,CA,napa,38.26721,-122.298425,hybrid,,4.79411764705882,136,94591,https://weedmaps.com/deliveries/cannabliss-2-4,delivery,7079801441callortext,emailCannaBliss@gmail.com,www.420cannabliss.com,,C9-18-0000221-TEMP,,,,,,,2019-03
44044,Hidden Treasurez Collective,CA,napa,38.287778,-122.29436299999999,medical,,5.0,7,94559,https://weedmaps.com/deliveries/hidden-treasurez-collective-3,delivery,7074927072,hiddentreasurescollective@gmail.com,,,,,,,,,,2019-03
49011,Cookie Monster Delivery,Ca,napa,38.295195,-122.28923400000001,medical,,4.2,5,94559,https://weedmaps.com/deliveries/cookie-monster-delivery-2,delivery,4157561474,cookiemonsterdeliveries@gmail.com,,,,,,,,,,2019-03
30453,MarinMedz,CA,novato,38.118425,-122.586003,medical,,5.0,2,94947,https://weedmaps.com/deliveries/marinmedz-san-rafael,delivery,4154341700,marinmedz@protonmail.com,,,,,,,,,,2019-03
46361,ganjarunner,CA,napa,38.291752,-122.284213,hybrid,,5.0,1,94559,https://weedmaps.com/deliveries/ganjarunner-27,delivery,8555542652,contact@ganjarunner.com,ganjarunner.com/,,A9-18-0000090-TEMP,,,,,,,2019-03
24652,Budee,CA,santa rosa,38.436663,-122.71236100000002,hybrid,,2.5166666666666697,12,95404,https://weedmaps.com/deliveries/budee-45,delivery,9259532850,contact@budee.org,www.budee.org,,A9-18-0000075-TEMP,,,,A9-18-0000075-TEMP,,,2019-03
