,Unnamed: 0,id,name,state,city,latitude,longitude,license_type,address,rating,reviews_count,zip_code,web_url,retailer_services,phone,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness,License Number,License Type,Business Owner,Business Contact Information,Business Structure,Premise Address,Status,Issue Date,Expiration Date,Activities,Adult-Use/Medicinal
0,5,6380,Lakeside Remedy,CA,Oakland,37.803744,-122.26130900000001,hybrid,,4.0,245,94612,https://weedmaps.com/deliveries/lakeside-remedy,delivery,510-309-6981,,C9-18-0000115-TEMP,,,,,,,C9-18-0000115-TEMP,Cannabis - Retailer Nonstorefront Temporary License,David Safford,"Lakeside Remedy  : Lakeside Remedy : Email- lakesideremedy@gmail.com : Phone- 5103096981 : Website- 360 GRAND AVE, 321",Corporation,"OAKLAND, CA 946065271 County: ALAMEDA ",Active,07/09/2019,12/11/2018,N/A for this license type,BOTH
1,673,6381,Lakeside Remedy,CA,Fremont,37.519822999999995,-121.968305,hybrid,,4.0,40,94538,https://weedmaps.com/deliveries/lakeside-remedy-2,delivery,510-309-6981,,C9-18-0000115-TEMP,,,,,,,C9-18-0000115-TEMP,Cannabis - Retailer Nonstorefront Temporary License,David Safford,"Lakeside Remedy  : Lakeside Remedy : Email- lakesideremedy@gmail.com : Phone- 5103096981 : Website- 360 GRAND AVE, 321",Corporation,"OAKLAND, CA 946065271 County: ALAMEDA ",Active,07/09/2019,12/11/2018,N/A for this license type,BOTH
2,6,42172,Bento - South San Francisco,CA,South San Francisco,37.645728000000005,-122.427255,hybrid,,4.0,41,94080,https://weedmaps.com/deliveries/bento-3,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
3,650,11722,Bento,CA,San Jose,37.337436,-121.95015,hybrid,,4.0,707,95112,https://weedmaps.com/deliveries/bento,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
4,652,13211,Bento - Fremont,CA,Fremont,37.575061,-122.041215,hybrid,,4.0,107,94555,https://weedmaps.com/deliveries/bento-2-3,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
5,654,13216,Bento - Mountain View,CA,Mountain View,37.42107,-122.086579,hybrid,,4.0,135,94043,https://weedmaps.com/deliveries/bento-palo-alto-1,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
6,667,12381,Bento - Sunnyvale / Cupertino,CA,Sunnyvale,37.346765999999995,-122.01424399999999,hybrid,,4.0,190,94087,https://weedmaps.com/deliveries/bento-palo-alto,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
7,668,12380,Bento - Campbell,CA,Campbell,37.294313,-121.94358100000001,hybrid,,4.0,163,95136,https://weedmaps.com/deliveries/bento-south-san-jose,delivery,www.bento.delivery,,C9-18-0000085-TEMP,,,,,,,C9-18-0000085-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Alexis Bronson,MEDICINAL ORGANIC LLC  : Medicinal Organic : Email- b2p@sbcglobal.net : Phone- 7079800456 ,Limited Liability Company,"OAKLAND, CA 946033604 County: ALAMEDA ",Active,07/01/2019,12/03/2018,N/A for this license type,Adult-Use
8,7,43498,West Coast Smoke - Recreational,CA,Napa,38.296475,-122.300371,hybrid,,4.0,14,94559,https://weedmaps.com/deliveries/west-coast-smoke-recreational,delivery,707-814-5112,,C9-18-0000036-TEMP,,,,,,,C9-18-0000036-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Christopher Alpers,WEST COAST SMOKE LLC : Email- chris.alpers@yahoo.com : Phone- 4252489475 ,Limited Liability Company,"UKIAH, CA 95482 County: MENDOCINO",Active,07/02/2019,09/05/2018,N/A for this license type,BOTH
9,18,39791,West Coast Smoke - Recreational,CA,Santa Rosa,38.453373,-122.71744,hybrid,,4.0,43,95401,https://weedmaps.com/deliveries/west-coast-smoke,delivery,707-814-5112,,C9-18-0000036-TEMP,,,,,,,C9-18-0000036-TEMP,Cannabis - Retailer Nonstorefront Temporary License,Christopher Alpers,WEST COAST SMOKE LLC : Email- chris.alpers@yahoo.com : Phone- 4252489475 ,Limited Liability Company,"UKIAH, CA 95482 County: MENDOCINO",Active,07/02/2019,09/05/2018,N/A for this license type,BOTH
