,Unnamed: 0,id,name,state,city,latitude,longitude,license_type,address,rating,reviews_count,zip_code,web_url,retailer_services,phone,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness
11,11,50268,Lytt,CA,Pacifica,37.634507,-122.4918,medical,1905 Palmetto Ave. Unit B,4.0,104,94044,https://weedmaps.com/dispensaries/surefyre,storefront,0000000000,,,,,,,,
14,14,60567,Harvest of Napa (Newly Opened),CA,Napa,38.297243,-122.301418,medical,2449 Second Street,3.0,10,94559,https://weedmaps.com/dispensaries/harvest-of-napa,storefront,707.210.2271,,,,,,,,
15,15,49957,Mendocino Organics,CA,Vallejo,38.109695,-122.253425,medical,539 A Tennessee ST,3.0,11,94590,https://weedmaps.com/dispensaries/mendocino-organics-2,storefront,(707)652-5018,,,,,,,,
16,16,20208,Fly Fast Delivery - Richmond,CA,Richmond,37.964331,-122.318325,medical,,4.0,196,94841,https://weedmaps.com/deliveries/fly-fast-delivery,delivery,(510) 776-2965,,,,,,,,
22,22,57685,East Bay Therapeutics,CA,Emeryville,37.838307,-122.290292,hybrid,5745 Peladeau Street,4.0,191,94608,https://weedmaps.com/dispensaries/east-bay-therapeutic,storefront,(510) 925-1266,,,A100000368,,,,M100000420,
23,23,52646,Phog Center,CA,Pacifica,37.631547,-122.492719,medical,2270 Palmetto Ave,4.0,104,94044,https://weedmaps.com/dispensaries/emerald-phog-san-bruno,storefront,844-504-8771,,,,,,,C1018000012010,
27,27,54343,ME Dispensary,CA,El Sobrante,37.965296,-122.31428000000001,medical,3823 San Pablo Dam Rd,3.0,5,94803,https://weedmaps.com/dispensaries/me-dispensary,storefront,510-758-3269,,,,,,,,
28,28,3509,E-leaf,CA,San Rafael,37.974565999999996,-122.53853899999999,medical,,4.0,76,94901,https://weedmaps.com/deliveries/better-buds-2-5,delivery,415-943-1420,,,,,,,,
32,32,3136,Purple Buddha - Vallejo,CA,Vallejo,38.104805999999996,-122.24356,medical,,3.0,60,94517,https://weedmaps.com/deliveries/purple-buddha-2-4,delivery,925-993-8180,,,,,,,,
33,33,38967,MINT XPRESS - S. San Francisco,CA,San Francisco,37.656921999999994,-122.454226,hybrid,,3.0,8,94015,https://weedmaps.com/deliveries/mint-xpress-s-san-francisco,delivery,(650) 285-1601,,,,,,,,
38,38,37204,SoCo's Finest,CA,Santa Rosa,38.422281,-122.668332,medical,,4.0,276,95401,https://weedmaps.com/deliveries/soco-s-finest,delivery,(707)800-8733,,,,,,,TBA,
39,39,14839,Citius Group,CA,San Francisco,37.729763,-122.44166499999999,medical,,4.0,288,94015,https://weedmaps.com/deliveries/citius-group,delivery,(415)686-7492,,,,,,,,
40,40,28014,MarinMedz,CA,San Rafael,37.935973,-122.53344399999999,medical,,4.0,39,94901,https://weedmaps.com/deliveries/marinmedz,delivery,415-434-1700,,,,,,,,
44,44,28399,VHHC Delivery,CA,Vallejo,38.113989000000004,-122.257939,hybrid,,3.0,5,94590,https://weedmaps.com/deliveries/bam-delivery,delivery, (707) 652-5018,,,,,,,,
60,60,20451,Golden Gate Holistics,CA,Pinole,38.00428,-122.29853,medical,,4.0,198,94547,https://weedmaps.com/deliveries/golden-gate-holistics,delivery,707-771-4103 ,,,,,,,C4092420,
62,62,350,Green Line Delivery,CA,Daly City,37.667568,-122.47592900000001,medical,,4.0,24,94015,https://weedmaps.com/deliveries/green-bay-delivery-free-8th-w-purchase-of-1-2oz,delivery,(650)257-0313,,,,,,,,
66,66,44342,VHHC Delivery - Napa,CA,Napa,38.304108,-122.289422,medical,,1.0,1,94559,https://weedmaps.com/deliveries/vhhc-delivery-napa,delivery, (707) 652-5018,,,,,,,,
71,71,33824,High Trees - San Francisco,CA,San Francisco,37.743142999999996,-122.47358700000001,medical,,4.0,254,94116,https://weedmaps.com/deliveries/high-trees-sf,delivery,9252940725,,,,,,,,
72,72,43433,420 Super Budz,CA,Richmond,37.931915999999994,-122.32302800000001,medical,,4.0,17,94805,https://weedmaps.com/deliveries/420-super-budz,delivery,(510) 978-6310,,,,,,,,
77,77,45518,Urban Bloom,California,Richmond,37.945547999999995,-122.329851,medical,,5.0,6,94530,https://weedmaps.com/deliveries/urban-bloom,delivery,510-776-6122,,,,,,,,
81,81,42831,Mountain Lion Delivery,CA,Berkeley,37.858912,-122.26416100000002,hybrid,,5.0,5,94705,https://weedmaps.com/deliveries/mountain-lion-delivery-2,delivery,(510) 878-7462,,A9180000102 ,,,,,,
83,83,26326,Natures Fire,CA,South San Francisco,37.654926,-122.403406,medical,,4.0,27,94080,https://weedmaps.com/deliveries/natures-fire,delivery,(800)432-0839,,,,,,,,
84,84,44485,Higher Connection,California,Rohnert Park,38.345786,-122.685498,medical,,5.0,11,94928,https://weedmaps.com/deliveries/higher-connection,delivery,(707)571-9749,,,,,,,,
86,86,15467,Hii-Timez Delivery - Richmond,CA,Berkeley,37.93541,-122.32524199999999,medical,,4.0,84,94706,https://weedmaps.com/deliveries/hii-timez-delivery,delivery,(510) 860-8387,,,,,,,,
89,89,29970,Citius Group,CA,San Francisco,37.709161,-122.45326999999999,medical,,4.0,92,94112,https://weedmaps.com/deliveries/citius-group-4,delivery,(415) 686-7492,,,,,,,,
91,91,30373,Fly Fast Delivery - Berkeley,CA,Berkeley,37.898919,-122.30919899999999,medical,,4.0,17,94530,https://weedmaps.com/deliveries/fly-fast-delivery-berkeley,delivery,(510) 776-2965,,,,,,,,
93,93,33827,High Trees - South San Francisco,CA,South San Francisco,37.655915,-122.437096,medical,,4.0,246,94080,https://weedmaps.com/deliveries/high-trees-sfsouth,delivery,9252940725,,,,,,,,
95,95,30226,Kine2b,CA,Fairfax,37.987406,-122.59047,medical,,4.0,6,94930,https://weedmaps.com/deliveries/kine2b,delivery,415-505-7066,,,,,,,,
96,96,17464,Smoakland - Oakland,CA,Oakland,37.843961,-122.247973,recreational,,4.0,231,94601,https://weedmaps.com/deliveries/smoakland-oakland,delivery,510-513-9570,,#: C9180000095,,,,,,
97,97,4033,MediGreen Express,California,San Bruno,37.628961,-122.40702900000001,medical,,4.0,91,94066,https://weedmaps.com/deliveries/medi-green-express,delivery,(415) 304-2582,,,,,,,,
98,98,1274,The Strain Train,California,Berkeley,37.865001,-122.273431,medical,,4.0,119,94703,https://weedmaps.com/deliveries/the-strain-train-2,delivery,(510) 706 - 7294,,,,,,,,
