yelp_id,name,phone,address_line1,address_line2,address_line3,city,postal_code,state_code,is_closed,review_count,rating,store_types,url
wild-side-smoke-shop-san-luis-obispo,Wild Side Smoke Shop,,871 Santa Rosa St,,,San Luis Obispo,93401,CA,0,21,3.0,"Tobacco Shops,Vape Shops",
the-club-smoke-shop-san-luis-obispo,The Club Smoke Shop,+18057818100,3920-3 Broad St,,,San Luis Obispo,93402,CA,0,1,5.0,Vape Shops,http://www.theclub-smokeshop.com
los-osos-smoke-shop-los-osos,Los Osos Smoke Shop,+18055341655,1197 Los Osos Valley Rd,,,Los Osos,93402,CA,0,8,4.5,"Tobacco Shops,Head Shops,Vape Shops",
tobacco-castle-los-osos-2,Tobacco Castle,+18055281389,2179 10th St,,,Los Osos,93402,CA,0,8,4.5,"Tobacco Shops,Vape Shops,Head Shops",https://tobaccocastle.business.site
smoke-and-vape-san-luis-obispo,Smoke & Vape,+18054394050,487 Madonna Rd,Ste 2,,San Luis Obispo,93405,CA,0,5,2.0,"Vape Shops,Tobacco Shops,Head Shops",http://www.smokeandvapeslo.com
laguna-smokes-san-luis-obispo,Laguna Smokes,+18055941900,11560 Los Osos Valley Rd,Ste 280,,San Luis Obispo,93405,CA,0,16,2.5,"Tobacco Shops,Vape Shops",
cloud-9-smoke-shop-and-glass-gallery-san-luis-obispo-2,Cloud 9 Smoke Shop and Glass Gallery,+18055930420,973 Foothill Blvd,,,San Luis Obispo,93405,CA,0,43,4.0,"Vape Shops,Head Shops",
cal-state-vape-atascadero,Cal State Vape,+18054668273,8420 El Camino Real,Ste B,,Atascadero,93422,CA,0,3,5.0,Vape Shops,http://www.calstatevape.com
stellar-vapes-atascadero,Stellar Vapes,+18054606967,6025 Palma Ave,,,Atascadero,93422,CA,0,10,3.5,Vape Shops,http://www.stellarvapes.com
rare-candy-vape-atascadero-4,Rare Candy Vape,+18054607555,6145 San Anselmo Rd,,,Atascadero,93422,CA,0,2,5.0,Vape Shops,http://rarecandyvapeco.com
amsterdam-vape-cafe-and-gallery-grover-beach,Amsterdam Vape Cafe & Gallery,+18054813585,1519 W Grand Ave,,,Grover Beach,93433,CA,0,34,4.5,"Hookah Bars,Vape Shops",
sector-vape-grover-beach-5,Sector Vape,+18052028678,1741 W Grand Ave,,,Grover Beach,93433,CA,0,29,4.0,"Vape Shops,Head Shops",https://www.sectorvape.com
tobacco-mart-paso-robles,Tobacco Mart,+18052390620,167 Niblick Rd,,,Paso Robles,93446,CA,0,4,4.5,"Tobacco Shops,Vape Shops",
wild-side-smoke-shop-paso-robles,Wild Side Smoke Shop,+18053692540,637 Spring St,,,Paso Robles,93446,CA,0,2,1.0,Vape Shops,
cal-state-vape-santa-maria,Cal State Vape,+18059258277,401 N Broadway,Ste C,,Santa Maria,93454,CA,0,31,5.0,Vape Shops,http://www.calstatevape.com
central-city-vapors-santa-maria,Central City Vapors,+18059226655,205 E Main St,,,Santa Maria,93454,CA,0,10,3.0,Vape Shops,
amsterdam-lounge-and-smoke-shop-santa-maria,Amsterdam Lounge & Smoke Shop,+18053492929,437 S Broadway,,,Santa Maria,93454,CA,0,28,4.0,"Hookah Bars,Vape Shops",
